(-1813.300693,4812.294294,1.047065,1040.23875969,1801.1949708,2080.000000)
(-1790.601602,4851.610244,1.047198,1039.99919156,1801.33330663,2080.000000)
(-1765.601604,4894.911516,1.047198,1039.99919156,1801.33330663,2080.000000)
(-1740.601606,4938.212787,1.047198,1039.99919156,1801.33330663,2080.000000)
(-1715.601608,4981.514058,1.047198,1039.99919156,1801.33330663,2080.000000)
(-1690.601610,5024.815330,1.047198,1039.99919156,1801.33330663,2080.000000)
(-1665.601612,5068.116601,1.047198,1039.99919156,1801.33330663,2080.000000)
(-1640.601614,5111.417872,1.047198,1039.99919156,1801.33330663,2080.000000)
(-1615.601616,5154.719144,1.047198,1039.99919156,1801.33330663,2080.000000)
(-1590.601618,5198.020415,1.047198,1039.99919156,1801.33330663,2080.000000)
(-1565.601620,5241.321686,1.047198,1039.99919156,1801.33330663,2080.000000)
(-1541.320114,5283.453469,1.052197,1027.69798885,1800.75651745,2073.375796)
(-1516.899949,5327.083707,1.068864,989.575832251,1803.11641251,2056.815287)
(-1493.210312,5371.114869,1.085531,951.662703816,1804.70985292,2040.254777)
(-1470.257784,5415.534725,1.102197,913.97530064,1805.54358578,2023.694268)
(-1448.048740,5460.330936,1.118864,876.52470357,1805.62741631,2007.133758)
(-1426.589350,5505.491058,1.135531,839.327207464,1804.96861315,1990.573248)
(-1405.885574,5551.002549,1.152197,802.398897743,1803.57486749,1974.012739)
(-1385.943164,5596.852766,1.168864,765.750232431,1801.4565802,1957.452229)
(-1366.767658,5643.028973,1.185531,729.396867146,1798.62193886,1940.891720)
(-1348.364383,5689.518344,1.202197,693.354222909,1795.07953232,1924.331210)
